[INFO ] 2024-01-31 16:28:40,178 2024-01-31 16:28:40.178 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-01-31 16:28:40,204 2024-01-31 16:28:40.204 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-01-31 16:28:40,929 2024-01-31 16:28:40.929 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-01-31 16:28:40,959 2024-01-31 16:28:40.959 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-01-31 16:28:41,661 2024-01-31 16:28:41.661 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-01-31 16:28:41,693 2024-01-31 16:28:41.693 [main] E-commerce_MyShop - Search Product Test Case Is Successfully Passed
[INFO ] 2024-02-01 13:39:53,517 2024-02-01 13:39:53.517 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-01 13:39:53,569 2024-02-01 13:39:53.569 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:39:53,574 2024-02-01 13:39:53.574 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:42:02,412 2024-02-01 13:42:02.412 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-01 13:42:02,439 2024-02-01 13:42:02.439 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:42:03,304 2024-02-01 13:42:03.304 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-01 13:42:03,341 2024-02-01 13:42:03.341 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-01 13:42:04,152 2024-02-01 13:42:04.152 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-01 13:42:04,182 2024-02-01 13:42:04.182 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-01 13:42:04,878 2024-02-01 13:42:04.878 [main] E-commerce_MyShop - Clicked on serach btn
[INFO ] 2024-02-01 13:42:04,889 2024-02-01 13:42:04.889 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:44:47,568 2024-02-01 13:44:47.568 [main] E-commerce_MyShop - URL is Opened
[INFO ] 2024-02-01 13:44:47,588 2024-02-01 13:44:47.588 [main] E-commerce_MyShop - **********************TestCase Search Product Started*********************************
[INFO ] 2024-02-01 13:44:48,477 2024-02-01 13:44:48.477 [main] E-commerce_MyShop - Email is Entered
[INFO ] 2024-02-01 13:44:48,501 2024-02-01 13:44:48.501 [main] E-commerce_MyShop - Password is Entered
[INFO ] 2024-02-01 13:44:49,232 2024-02-01 13:44:49.232 [main] E-commerce_MyShop - Clicked on SignIn Btn
[INFO ] 2024-02-01 13:44:49,262 2024-02-01 13:44:49.262 [main] E-commerce_MyShop - Entered Product Name
[INFO ] 2024-02-01 13:44:49,973 2024-02-01 13:44:49.973 [main] E-commerce_MyShop - Clicked on serach btn
